review_id,emp_id,review_year,rating
1,101,2021,4.1
2,101,2022,4.3
3,102,2019,4.6
4,102,2020,4.7
5,103,2018,4.2
6,103,2019,4.4
7,104,2022,3.9
8,104,2023,4.2
9,105,2020,4
10,105,2021,4.1
11,106,2017,3.5
12,106,2018,3.8
13,107,2016,4.4
14,107,2017,4.6
15,108,2021,4.2
16,108,2022,4.5
17,109,2019,4
18,109,2020,4.3
19,110,2015,3.7
20,110,2016,3.9
21,111,2018,4.5
22,111,2019,4.7
23,112,2020,4.6
24,112,2021,4.8
25,113,2017,3.6
26,113,2018,3.9
27,114,2019,4.1
28,114,2020,4.3
29,115,2016,3.8
30,115,2017,4
31,116,2021,4.2
32,116,2022,4.4
33,117,2018,4.1
34,117,2019,4.4
35,118,2022,4.3
36,118,2023,4.6
37,119,2019,3.9
38,119,2020,4.2
39,120,2020,4.4
40,120,2021,4.6
41,121,2014,3.5
42,121,2015,3.7
43,122,2021,4.3
44,122,2022,4.5
45,123,2017,4
46,123,2018,4.2
47,124,2018,4.4
48,124,2019,4.7
49,125,2019,3.9
50,125,2020,4.1
51,126,2020,4
52,126,2021,4.3
53,127,2016,4.2
54,127,2017,4.5
55,128,2015,4
56,128,2016,4.2
57,129,2019,4.4
58,129,2020,4.6
59,130,2022,4.5
60,130,2023,4.8
61,131,2013,3.4
62,131,2014,3.6
63,132,2020,4.7
64,132,2021,4.9
65,133,2018,4
66,133,2019,4.2
67,134,2019,4.1
68,134,2020,4.4
69,135,2017,4.2
70,135,2018,4.5
71,136,2021,4.3
72,136,2022,4.6
73,137,2016,3.8
74,137,2017,4.1
75,138,2020,4.4
76,138,2021,4.6
77,139,2018,4
78,139,2019,4.3
79,140,2019,4.5
80,140,2020,4.7
81,141,2022,4.2
82,141,2023,4.5
83,142,2017,4.1
84,142,2018,4.3
85,143,2016,3.6
86,143,2017,3.9
87,144,2018,4.2
88,144,2019,4.5
89,145,2015,3.9
90,145,2016,4.1
91,146,2021,4.3
92,146,2022,4.6
93,147,2019,4.4
94,147,2020,4.7
95,148,2020,4.1
96,148,2021,4.3
97,149,2017,3.8
98,149,2018,4.1
99,150,2016,4.2
100,150,2017,4.5